title(공고명),body text (공고내용),지원대상,소관기관,지원분야(대),지원분야(중),사업수행기관,문의처,신청기간,사업신청방법설명
[경기] 안산시 2025년 2차 청년큐브 마케팅 지원기업 모집 공고(청년창업인큐베이팅사업),"안산시 청년창업기업의 판로확대 및 대외 경쟁력 강화 제고를 위해 마케팅 지원사업에 참여할 청년 창업기업 다음과 같이 모집하오니 많은 신청 바랍니다.☞ 공고일 기준 39세 이하인 자로, 사업장소재지(본점)가 안산시이며, 창업 후 3년 미만 이내 기술기반의 창업기업☞ 전시회 참가, 크라우드펀딩, 온ㆍ오프라인 홍보물 제작, 홍보 마케팅, 기타 마케팅 등 기업 당 최대 5,000천원 이내 지원",창업벤처,경기도,창업,사업화지원,경기테크노파크,경기테크노파크 안산정보산업진흥센터 031-500-3000,20250703 ~ 20250723,이메일 접수(yyb0626@gtp.or.kr)
2025년 지식재산담보 회수지원기구 우수 IP(지식재산) 기술이전 수요기업 모집 공고,"(재)서울테크노파크는 사업화 과정에서 겪고 있는 기술 애로사항을 해결하고자 하는 기업을 대상으로 「IP담보 회수지원기구 우수 IP(지식재산) 기술이전 수요기업 모집 공고」를 아래와 같이 진행하오니 기술이전을 희망하는 기업의 많은 관심과 신청 바랍니다.☞ 사업화 과정에서 겪고 있는 기술 애로사항을 해결하고자 하는 기업※ 지원 프로그램별 지원대상 공고문 참조☞ 사업화 지원 프로그램, 기술이전 및 사업화 자금보증 추천, IP사업화연계 지식재산평가 지원사업, IP투자연계 지식재산평가 지원사업, 우수발명품 우선구매 추천사업 등 지원※ 자세한 지원내용 공고문 참조",중소기업,서울특별시,기술,기술사업화/이전/지도,서울테크노파크,"(재)서울테크노파크 기업지원팀 02-944-6023, 6035",20250701 ~ 20250930,"이메일 및 온라인 접수
- 이메일 : biz@seoultp.or.kr
- 온라인 : 구글폼"
[경기] 의정부시 2025년 혁신도시 스타트업 챌린지 PoC 프로젝트 오디션 참가기업 모집 공고,"(재)경기콘텐츠진흥원은 의정부시 및 관내 공공기관과 함께, 경기 북부의 지역 경쟁력 강화를 위한 ‘2025 의정부 혁신도시 스타트업 챌린지’를 개최합니다. 의정부시는 스타트업 육성 정책을 적극 추진 중이며, 이번 공모를 통해 유망 스타트업을 발굴하고, PoC 행정지원 시스템 기반을 마련하여 스타트업 친화적 스마트 도시로 도약하고자 합니다. 의정부의 미래를 함께 만들어갈 혁신적인 프로젝트를 기다립니다. 이에 다음과 같이 프로젝트를 모집하오니 많은 관심과 참여를 부탁드립니다. ☞ 「중소기업창업지원법」에 따른 창업기업 대표자로, 공고일 기준 창업 7년 이내인 자(기업)- 포괄적(1~4단계) 콘텐츠 산업 분류에 해당하는 프로젝트 또는 콘텐츠 기술(AI, VRAR, VP 등)이 적용/활용되는 프로젝트 ※ 단, 본선 1위 기업 (2026년 후속지원)은 의정부시 본사 이전 의무.☞ PoC(실현검증) 수요를 보유한 우수 프로젝트 발굴 및 육성 지원",창업벤처,경기도,창업,사업화지원,경기콘텐츠진흥원,"경기콘텐츠진흥원 북부권역센터(북부 경기문화창조허브) 031-877-2722, 031-877-2716 / gregory@gcon.or.kr, heya@gcon.or.kr",20250703 ~ 20250731,"온라인 접수 (경기콘텐츠진흥원)
※ 제출 파일명 : 스타트업챌린지지원_기업명_대표자명.zip / 신청서 등 제출 시 pdf 변환 제출.zip"
2025년 하반기 원산지검증 대응 지원사업 모집 공고,"관세청은 중소기업이 원산지검증에 대비하여 원산지관리 능력을 배양할 수 있도록「2025년도 하반기 원산지검증 대응 지원사업」을 추진할 계획입니다. 이에 아래와 같이 지원사업 참여기업을 모집하고자 하오니 관심 있는 기업의 많은 참여를 바랍니다.☞ 다음 중 어느 하나에 해당하지 않는 원산지검증 대비가 필요한 중소기업, 소상공인☞ 관세청에서 배정한 민간 컨설턴트(관세사)가 기업을 직접 방문하여 원산지검증 대비를 위한 맞춤형 컨설팅 지원",중소기업,관세청,경영,컨설팅,직접수행,관세청 자유무역협정집행과 담당자 042-481-3217 및 서울ㆍ부산ㆍ인천ㆍ대구ㆍ광주ㆍ평택세관 문의처 공고문 6p 참조,20250710 ~ 20250718,온라인 접수 (FTA 포털)
중소기업 집중지원 안전관리체계 구축 사업 참여 공고,"부산경영자총협회는 신정부 출범 이후,강화된 산업안전보건법 및 중대재해처벌법에 따른 사업주의 형사처벌 및징벌적 손해배상 책임에 선제적으로 대응할 수 있도록 고용노동부 및 부산광역시와 함께 중소기업 집중지원 사업을 아래와 같이 시행하오니,귀사의 적극적인 신청 바랍니다.☞ 상시근로자 50인 미만 사업장 ☞ 위험성 평가 기반 맞춤식 안전보건관리체계 구축, 안전관리 필수서류 등 제공 지원",중소기업,고용노동부,경영,컨설팅,부산경영자총협회,부산경총 중대재해종합대응센터전문위원 051-866-5519 / 867-5519,20250703 ~ 20250725,"유선 접수
※ 전화 신청 → 전문가 방문 상담 → 맞춤형 구축 지원"
2025년 (Radiological Society of North AmericaㆍRSNA 2025) 북미방사선학회 세미나발표 기업 및 전시 참여기업 모집 재공고,"북미방사선학회 2025(RSNA 2025)와 연계하여, 국내 의료기기 기술과 
제품을 홍보하고 글로벌 시장 진출을 가속화하기 위하여「세미나 발표
및 전시 홍보」참여기업 모집을 다음과 같이 재공고하오니 적극적인 참여
를 바랍니다.☞ 북미 권역 내 수출 가능성이 높고 오프라인 세미나 발표ㆍ전시 주제에 
부합하며,국산 제품을 활용한 의료진 및 바이어 등 대상으로 현장 
발표가 가능한 제조기업※ 자세한 지원대상 공고문 참조☞ 북미방사선학회 세미나 발표 및 오프라인 전시 신청ㆍ운영비용 지원- 국내ㆍ외 의료진의 제품 시연(핸즈온) 및 국내ㆍ외 주요 관계자 네트워킹 등 홍보 지원※ 자세한 지원내용 공고문 참조",중소기업,보건복지부,수출,해외진출,한국보건산업진흥원,"한국보건산업진흥원 메드텍수출지원팀 043-713-8563, shhan93@khidi.or.kr",20250703 ~ 20250717,"이메일 접수 (lynn93@khidi.or.kr)
※ 한글 원본파일과 서명 후 스캔한 PDF파일 동시 제출"
2025년 3차 바이오프린팅 활용 첨단바이오 활성화 지원사업(기술고도화) 수혜기관 모집 재공고,"경상북도, 포항시, 포항테크노파크에서 바이오프린팅 및 인공장기 전후방 산업 육성을 위해 ‘바이오프린팅 활용 첨단바이오 활성화 지원 사업(기술고도화)’을 아래와 같이 공고하오니 많은 관심과 참여 바랍니다.☞ 국내 바이오프린팅 및 인공장기 전후방 산업 분야 중소ㆍ벤처기업, 연구소, 대학, 병원 또는 예비 창업자☞ 바이오프린팅 인공장기 전ㆍ후방 산업 상용화 기술개발 최대 75백만원 지원",중소기업,경상북도,기술,기술사업화/이전/지도,포항테크노파크,포항테크노파크 바이오사업본부 그린바이오산업팀 054-262-4213 / sjchoi94@ptp.or.kr,20250703 ~ 20250709,"우편 및 방문 접수
- 접수처 : 그린백신실증지원센터 310호(포항시 북구 융합기술로 66-2)
※ 원본 및 사본 제출, 원본은 전체 스캔후(PDF) 이메일 발송(sjchoi94@ptp.or.kr)"
2025년 제2차 중소벤처기업부 혁신제품 지정기간 연장(2차연장) 공고,"중소벤처기업부 소관 중소기업 기술개발지원사업을 통해 개발된 혁신제품의 공공조달 연계 활성화를 지원하기 위하여 「2025년도 제2차 중소벤처기업부 혁신제품 지정기간 연장(2차연장)」 시행계획을 다음과 같이 안내하오니, 지정기간 연장을 희망하는 혁신제품 보유기업은 관련 규정 및 아래의 내용을 반드시 확인하신 후 신청하여 주시기 바랍니다.☞ 중소벤처기업부 지정 혁신제품 보유기업※ 1차 연장기간 (1년)의 만료가 도래되는 혁신제품을 보유한 기업☞ 3년의 범위 내에서 지정기간 2년 연장",중소기업,중소벤처기업부,수출,시장개척,중소기업기술정보진흥원,"중소기업 통합콜센터 (국번없이)1357 / 중소기업기술정보진흥원 044-300-0712, 0714 (innopro@tipa.or.kr)",20250703 ~ 20250725,온라인 접수 (중소기업기술개발사업 종합관리시스템)
2025년 제2차 중소벤처기업부 혁신제품 지정기간 연장(1차연장) 공고,"중소벤처기업부 소관 중소기업 기술개발지원사업을 통해 개발된 혁신제품의 공공조달 연계 활성화를 지원하기 위하여「2025년도 제2차 중소벤처기업부 혁신제품 지정기간 연장(1차연장)」시행계획을 다음과 같이 공고하오니, 해당하는 중소기업은 안내에 따라 신청하여 주시기 바랍니다.☞ 중소벤처기업부 지정 혁신제품 보유기업- 기본 지정기간(3년)의 만료가 도래되는 혁신제품을 보유한 기업※ (지정기간) ’22. 9. 27. ~ ’25. 9. 26.☞ 3년의 범위 내에서 지정기간 1년 연장 지원",중소기업,중소벤처기업부,수출,시장개척,중소기업기술정보진흥원,"중소기업 통합콜센터 (국번없이)1357 / 중소기업기술정보진흥원 044-300-0712, 0714 (innopro@tipa.or.kr)",20250703 ~ 20250725,온라인 접수 (중소기업기술개발사업 종합관리시스템)
2025년 뮤직ㆍ엔터테인먼트 페어(MU:CON 2025) 비즈니스 참가 기업 모집 공고,"한국콘텐츠진흥원에서 2025년 뮤직ㆍ엔터테인먼트 페어(MU:CON 2025) 를 개최합니다.☞ 해외 음악 및 엔터테인먼트 시장 진출을 준비 또는 추진 중인 국내 음악 및 음악 관련 엔터테인먼트 분야 관련 기업 ☞ 글로벌 비즈니스 및 네트워킹, 글로벌 비즈니스 워크숍, 온오프라인 홍보ㆍ마케팅 지원※ 자세한 지원내용 공고문 참조",중소기업,문화체육관광부,내수,오프라인,한국콘텐츠진흥원,"한국콘텐츠진흥원 음악패션산업팀 061-900-6452, crystal0908@kocca.kr / 접수페이지(시스템) 문의 스펙토리 (02-6953-1210)",20250703 ~ 20250717,온라인 접수(한국콘텐츠진흥원)
[경기] 2025년 2차 게임오디션 후속지원 프로그램 지원기업 모집 공고,"경기콘텐츠진흥원에서 2025년 2차 경기게임오디션 후속지원 프로그램 지원 팀 모집을 진행합니다.☞ 2023년 경기게임오디션 TOP10 기업/팀, 2024 ~ 25년 경기게임오디션 TOP10 중 경기도 소재 기업/팀☞ 마케팅, QA, 번역 및 LQA, 사운드, 영상 등 기업(팀) 당 최대 약 17,000천원 내외의 서비스 지원",중소기업,경기도,경영,디자인/상품화/사업화,경기콘텐츠진흥원,"경기콘텐츠진흥원 게임산업팀 031-776-4784, angha002@gcon.or.kr / 031-776-4790, pjh22000@gcon.or.kr",20250702 ~ 20250708,온라인 접수(경기콘텐츠진흥원)
2025년 3차 사업재편 지원사업 참여기업 모집 공고,"(사)한국경영혁신중소기업협회는 혁신형 중소기업의 자발적ㆍ선제적 사업재편 활성화를 위하여 신산업ㆍ탄소중립ㆍ디지털 전환·공급망 안정 분야 사업의 사업재편을 지원하고자, 산업통상자원부의「사업재편 지원사업」을 아래와 같이 공고하오니 참여를 희망하는 기업들의 많은 신청을 바랍니다.☞ 업력 4년 이상의 중소ㆍ중견ㆍ대기업 (법인사업자)☞ 참여기업의 사업재편 지원제도 신청을 위한 사전 진단 및 요건 검토 등 참여 지원- 신청기업의 사업재편 지원제도 승인을 위한 컨설팅 지원",중소기업,산업통상자원부,경영,디자인/상품화/사업화,한국경영혁신중소기업협회,"(사)한국경영혁신중소기업협회정책사업팀 02-2230-2155, 2160",20250702 ~ 20250711,이메일 접수(hkphyun@mainbiz.or.kr)
2025년 납품대금 연동약정 체결지원 사업 참여기업 모집 공고,"(사)한국경영혁신중소기업협회에서는 중소 수급(수탁)기업의 납품대금 연동 약정 체결을 위한 원재료 확인 및 컨설팅을 지원하는 「연동약정 체결지원사업」의 참여기업을 모집합니다.☞ 중소기업기본법 상 중소기업☞ 주요 원재료 확인서 발급, 연동 약정 컨설팅 지원※ 자세한 지원내용 공고문 참조",중소기업,중소벤처기업부,경영,디자인/상품화/사업화,한국경영혁신중소기업협회,(사)한국경영혁신중소기업협회(메인비즈협회) 02-2230-2161,예산 소진시까지,이메일 접수(hjcj0927@mainbiz.or.kr)
2025년 연구개발특구 과기특성화대 기술창업투자 경진대회 모집 공고,"연구개발특구 소재 과기특성화대 혁신자원을 활용한 국가전략기술분야 기술창업 활성화를 위한 「2025년 연구개발특구 과기특성화대 기술창업투자 경진대회」를 개최하고자 하오니, (예비)창업기업의 많은 관심과 참여를 부탁드립니다.☞ 과기특성화대학 학생ㆍ연구자ㆍ교원 (예비)창업기업(5년 미만)- 12대 국가전략기술분야 기술창업 아이템 추진 기업☞ 시상, 상금, 투자 및 후속 지원※ 자세한 지원내용 공고문 참조",창업벤처,과학기술정보통신부,창업,예비창업자지원,연구개발특구진흥재단,"연구개발특구진흥재단 대구특구본부 (053-592-8353, ksh1214@innopolis.or.kr) / ㈜티비즈 (02-6405-3290, jusung@tbizip.com)",20250702 ~ 20250731,이메일 접수 (innotech2025contest@innopolis.or.kr)
2025년 임대형 스마트팜 청년농업인 모집 추가 재공고,"강원특별자치도 임대형 스마트팜 청년농업인 추가 모집계획을 다음과 같이 재공고합니다.☞ 선발공모 연도 기준 만18세 이상~만40세 미만 대한민국 국적 소지자※ 선발자는 임대차계약 이전까지 주소지를 강원특별자치도로 이전해야 하며, 미이전 시 선발 취소※ 자세한 지원대상 공고문 참조☞ 임대 보증금 1팀당 10,000,000원 지원※ 자세한 지원내용 공고문 참조",창업벤처,강원특별자치도,경영,시설/입지지원,기초자치단체,강원특별자치도청 농정국 농정과 스마트농업팀 033-249-3563,20250703 ~ 20250801,"방문, 이메일 접수
- 접수처 : 강원특별자치도 춘천시 중앙로 1(봉의동 15) 강원특별자치도청 농정국 농정과 스마트농업팀
- 이메일 : ljy9797@korea.kr"
[경기] 안산시 2025년 독일 SPS 참관단 모집 연장 공고,"안산시는 관내 중소제조기업의 수출역량 강화 및 글로벌 트렌드 파악을 위하여「2025 독일 SPS 안산시 참관단」을 모집(연장)하오니 많은 참여 바랍니다.☞ 안산시에 사업장(본사) 또는 공장이 소재한 제조업체☞ 왕복항공료 50%, 식비ㆍ숙박비 일부, 현지 교통비, 통역비, 입장료 등 기타 경비, 우수 혁신기업 탐방, 세미나 등 지원",중소기업,경기도,수출,해외진출,안산상공회의소,안산상공회의소 (070-4571-5833),20250703 ~ 20250718,"이메일, 우편, 방문 접수
- 접수처 : 안산시 단원구 적금로 120, 안산상공회의소
- 이메일 : dohunchu@korcham.net"
2025년 폐광지역 중소기업 상생 위너스 공고,"폐광지역 중소기업의 국내외 판로연계ㆍ일자리안정 및 역량강화를 위한 「2025년도 폐광지역 중소기업 상생 위너스」를 다음과 같이 공고하오니 많은 참여를 바랍니다.☞ 폐광지역 7개 시ㆍ군 소재 융자수혜기업☞ 판로연계, 일자리 안정, 경영지원 컨설팅 등 지원※ 자세한 지원내용 공고문 참조",중소기업,산업통상자원부,경영,디자인/상품화/사업화,한국광해광업공단,한국광해광업공단 대체산업팀 033-736-5774,20250707 ~ 20250718,이메일 접수 (qhd235@komir.or.kr)
2026년 UAE 두바이 치과기자재 전시회 (AEEDC 2026) 한국관 참가기업 모집 공고,"KOTRA와 (사)한국치과의료기기산업협회는 2026년 1월 19일 ~ 1월 21일 (3일간) UAE 두바이에서 개최되는 ‘2026 UAE 두바이 치과기자재 전시회(AEEDC 2026)’ 한국관 참가기업을 아래와 같이 모집하오니 관심기업들의 많은 신청 바랍니다. ☞ 2026 UAE 두바이 치과기자재 전시회(AEEDC 2026) 한국관에 참가를 원하는 기업- 전시품목 : 치과기자재 및 기계류, 관련 소모품 및 기구, 약품 등☞ 부스임차료와 장치비의 70%이내 국고지원, 운송비 1cbm 편도 100%, 한국관 디렉토리 제작비 100%, 행정지원, 마케팅 및 홍보, 전시회 현장 등 지원",중소기업,산업통상자원부,수출,시장개척,대한무역투자진흥공사,"(사)한국치과의료기기산업협회 02-754-1933, 070-4618-3518, kmj_kdia@naver.com / KOTRA 해외전시팀 02-3460-3334, yeun917@kotra.or.kr 및 문의처 공고문 참조",20250701 ~ 20250711,"※ 아래 4가지 신청을 모두 완료해야 최종 신청 완료로 간주
① 온라인 신청(KOTRA 무역투자24 또는 글로벌 전시포털(GEP))
② 신청서류 이메일 제출(kmj_kdia@naver.com)
③ buyKOREA 온라인 상품정보 등록/갱신
④ 참가 신청금 납부"
2025년 미국 뉴욕 치과 전시회 (GNYDM 2025) 한국관 참가기업 모집 공고,"KOTRA와 (사)한국치과의료기기산업협회는 2025년 11월 30일 ~ 12월 3일 (4일간) 뉴욕에서 개최되는 ‘2025 미국 뉴욕 치과 전시회(GNYDM)’ 한국관 참가기업을 아래와 같이 모집하오니 관심기업들의 많은 신청 바랍니다. ☞ 2025 미국 뉴욕 치과 전시회 (GNYDM 2025) 한국관에 참가를 원하는 기업- 전시품목 : 치과기자재 및 기계류, 관련 소모품 및 기구, 약품 등☞ 부스임차료와 장치비의 70%이내 국고지원, 운송비 1cbm 편도 100%, 한국관 디렉토리 제작비 100%, 행정지원, 마케팅 및 홍보, 전시회 현장 등 지원",중소기업,산업통상자원부,수출,시장개척,대한무역투자진흥공사,"(사)한국치과의료기기산업협회 02-754-1933, 070-4618-3518, ljd328kdia@naver.com / KOTRA 해외전시팀 02-3460-3334, yeun917@kotra.or.kr 및 문의처 공고문 참조",20250701 ~ 20250711,"※ 아래 4가지 신청을 모두 완료해야 최종 신청 완료로 간주
① 온라인 신청(KOTRA 무역투자24 또는 글로벌 전시포털(GEP))
② 신청서류 이메일 제출(ljd328kdia@naver.com)
③ buyKOREA 온라인 상품정보 등록/갱신
④ (사)한국치과의료기기산업협회로 신청 기간 내 참가 신청금 납부"
